"year","dD","dTsVscales","yearSample"
-739973,-433.65,-7.59383083961913,"(-7.41e+05,-7.35e+05]"
-735331.5,-415.08,-4.69592803264498,"(-7.41e+05,-7.35e+05]"
-730996,-415.6,-4.77707555335724,"(-7.35e+05,-7.29e+05]"
-726492,-422.73,-5.8897329046618,"(-7.29e+05,-7.24e+05]"
-721561,-428.37,-6.76987139854086,"(-7.24e+05,-7.18e+05]"
-716497.5,-424.46,-6.15970446395449,"(-7.18e+05,-7.13e+05]"
-711925.5,-413.19,-4.40098800544083,"(-7.13e+05,-7.07e+05]"
-707834,-413.07,-4.38226165450723,"(-7.13e+05,-7.07e+05]"
-703884,-410.34,-3.95623717076789,"(-7.07e+05,-7.02e+05]"
-700148,-405.53,-3.20562260417954,"(-7.02e+05,-6.96e+05]"
-696545.5,-406.2,-3.31017806355879,"(-7.02e+05,-6.96e+05]"
-693035.5,-403.47,-2.88415357981946,"(-6.96e+05,-6.91e+05]"
-689655.5,-403.41,-2.87479040435267,"(-6.91e+05,-6.86e+05]"
-686296,-404.39,-3.02772227031037,"(-6.91e+05,-6.86e+05]"
-682788.5,-409.67,-3.85168171138865,"(-6.86e+05,-6.8e+05]"
-679091,-411.95,-4.20748237912699,"(-6.8e+05,-6.75e+05]"
-675206,-416.91,-4.98150488438234,"(-6.8e+05,-6.75e+05]"
-670962.5,-425.19,-6.27362309880054,"(-6.75e+05,-6.69e+05]"
-666505.5,-424.38,-6.14722022999876,"(-6.69e+05,-6.64e+05]"
-661979.5,-427.54,-6.64034747125015,"(-6.64e+05,-6.58e+05]"
-657162,-432.93,-7.48147273401756,"(-6.58e+05,-6.53e+05]"
-651856,-441.38,-8.80011994559169,"(-6.53e+05,-6.47e+05]"
-646435,-435.95,-7.95275256584642,"(-6.47e+05,-6.42e+05]"
-641378,-431.67,-7.28484604921479,"(-6.42e+05,-6.37e+05]"
-636477.5,-432.07,-7.34726721899344,"(-6.37e+05,-6.31e+05]"
-631327,-438.68,-8.37877704958575,"(-6.37e+05,-6.31e+05]"
-626371,-425.56,-6.3313626808458,"(-6.31e+05,-6.26e+05]"
-622502,-403.9,-2.95125633733151,"(-6.26e+05,-6.2e+05]"
-619393.5,-403.16,-2.835777173241,"(-6.2e+05,-6.15e+05]"
-616454.5,-399.16,-2.21156547545443,"(-6.2e+05,-6.15e+05]"
-613542.5,-402.79,-2.77803759119575,"(-6.15e+05,-6.09e+05]"
-610337,-413.49,-4.44780388277482,"(-6.15e+05,-6.09e+05]"
-606689.5,-421.89,-5.75864844812662,"(-6.09e+05,-6.04e+05]"
-602811,-423.15,-5.95527513292939,"(-6.04e+05,-5.99e+05]"
-598985.5,-421.74,-5.73524050945962,"(-6.04e+05,-5.99e+05]"
-595181.5,-423.63,-6.03018053666378,"(-5.99e+05,-5.93e+05]"
-591207.5,-427.39,-6.61693953258315,"(-5.93e+05,-5.88e+05]"
-587459.5,-414.07,-4.53831457895387,"(-5.88e+05,-5.82e+05]"
-584422,-398.73,-2.14446271794238,"(-5.88e+05,-5.82e+05]"
-581700,-403.22,-2.8451403487078,"(-5.82e+05,-5.77e+05]"
-578931,-402.97,-2.80612711759614,"(-5.82e+05,-5.77e+05]"
-576146.5,-404.53,-3.0495696797329,"(-5.77e+05,-5.71e+05]"
-573371.5,-403.5,-2.88883516755286,"(-5.77e+05,-5.71e+05]"
-570671,-400.97,-2.49402126870286,"(-5.71e+05,-5.66e+05]"
-568015,-401.98,-2.65163472239397,"(-5.71e+05,-5.66e+05]"
-565375.5,-400.96,-2.49246073945838,"(-5.66e+05,-5.6e+05]"
-562763,-400.84,-2.47373438852479,"(-5.66e+05,-5.6e+05]"
-560131.5,-403.08,-2.82329293928527,"(-5.6e+05,-5.55e+05]"
-557432.5,-405.2,-3.15412513911215,"(-5.6e+05,-5.55e+05]"
-554656,-407.86,-3.56922591814022,"(-5.55e+05,-5.5e+05]"
-551692,-415.23,-4.71933597131198,"(-5.55e+05,-5.5e+05]"
-548469,-420.96,-5.61351922839124,"(-5.5e+05,-5.44e+05]"
-545015,-427.17,-6.5826078892049,"(-5.5e+05,-5.44e+05]"
-541660,-418.03,-5.15628415976257,"(-5.44e+05,-5.39e+05]"
-538600,-416.07,-4.85042042784716,"(-5.39e+05,-5.33e+05]"
-535420.5,-424.74,-6.20339928279955,"(-5.39e+05,-5.33e+05]"
-531884.5,-432.21,-7.36911462841597,"(-5.33e+05,-5.28e+05]"
-528104.5,-434.28,-7.69214418202052,"(-5.33e+05,-5.28e+05]"
-524305.5,-433.02,-7.49551749721775,"(-5.28e+05,-5.22e+05]"
-520643,-429.67,-6.9727402003215,"(-5.22e+05,-5.17e+05]"
-517058.5,-431.16,-7.205259057747,"(-5.22e+05,-5.17e+05]"
-513730,-420.59,-5.55577964634598,"(-5.17e+05,-5.11e+05]"
-510725.5,-419.35,-5.36227402003215,"(-5.11e+05,-5.06e+05]"
-507810,-418.34,-5.20466056634103,"(-5.11e+05,-5.06e+05]"
-505015.5,-413.56,-4.45872758748609,"(-5.06e+05,-5.01e+05]"
-502338.5,-413.2,-4.40254853468529,"(-5.06e+05,-5.01e+05]"
-499643,-416.41,-4.90347842215902,"(-5.01e+05,-4.95e+05]"
-496859.5,-418.9,-5.29205020403115,"(-5.01e+05,-4.95e+05]"
-493966.5,-423.04,-5.93810931124026,"(-4.95e+05,-4.9e+05]"
-491003,-424.33,-6.13941758377642,"(-4.95e+05,-4.9e+05]"
-488148.5,-417.94,-5.14223939656238,"(-4.9e+05,-4.84e+05]"
-485457,-416.91,-4.98150488438234,"(-4.9e+05,-4.84e+05]"
-482810.5,-416.9,-4.97994435513787,"(-4.84e+05,-4.79e+05]"
-480230.5,-413.64,-4.47121182144181,"(-4.84e+05,-4.79e+05]"
-477752,-411.3,-4.10604797823667,"(-4.79e+05,-4.73e+05]"
-475343.5,-410.29,-3.94843452454557,"(-4.79e+05,-4.73e+05]"
-473025,-406.39,-3.33982811920366,"(-4.73e+05,-4.68e+05]"
-470792.5,-406.11,-3.2961333003586,"(-4.73e+05,-4.68e+05]"
-468509,-411.36,-4.11541115370347,"(-4.73e+05,-4.68e+05]"
-466111,-414.38,-4.58669098553233,"(-4.68e+05,-4.63e+05]"
-463573.5,-420.98,-5.61664028688018,"(-4.68e+05,-4.63e+05]"
-460956,-420.09,-5.47775318412266,"(-4.63e+05,-4.57e+05]"
-458366,-418.64,-5.25147644367503,"(-4.63e+05,-4.57e+05]"
-455521.5,-434.73,-7.76236799802152,"(-4.57e+05,-4.52e+05]"
-452413,-433.1,-7.50800173117349,"(-4.57e+05,-4.52e+05]"
-449206.5,-438.89,-8.41154816371954,"(-4.52e+05,-4.46e+05]"
-446078,-429.91,-7.0101929021887,"(-4.46e+05,-4.41e+05]"
-443056.5,-433.59,-7.58446766415233,"(-4.46e+05,-4.41e+05]"
-439997,-432.53,-7.41905156423889,"(-4.41e+05,-4.35e+05]"
-436925.5,-435.37,-7.86224186966736,"(-4.41e+05,-4.35e+05]"
-433633.5,-442.95,-9.04512303697291,"(-4.35e+05,-4.3e+05]"
-430191,-443.04,-9.05916780017312,"(-4.35e+05,-4.3e+05]"
-426957,-434.75,-7.76548905651044,"(-4.3e+05,-4.24e+05]"
-424299,-414.82,-4.65535427228885,"(-4.24e+05,-4.19e+05]"
-422295,-397.19,-1.90414121429454,"(-4.24e+05,-4.19e+05]"
-420526,-402.62,-2.75150859403981,"(-4.24e+05,-4.19e+05]"
-418764,-400.21,-2.3754210461234,"(-4.19e+05,-4.14e+05]"
-417101.5,-395.56,-1.64977494744652,"(-4.19e+05,-4.14e+05]"
-415543.5,-392.29,-1.139481884506,"(-4.19e+05,-4.14e+05]"
-414029,-393.15,-1.2736873995301,"(-4.19e+05,-4.14e+05]"
-412544,-391.78,-1.0598948930382,"(-4.14e+05,-4.08e+05]"
-411099.5,-390.62,-0.878873500680102,"(-4.14e+05,-4.08e+05]"
-409713,-386.61,-0.253101273649065,"(-4.14e+05,-4.08e+05]"
-408392.5,-384.31,0.105820452578215,"(-4.14e+05,-4.08e+05]"
-407118,-382.98,0.313370842092247,"(-4.08e+05,-4.03e+05]"
-405866,-383.34,0.257191789291463,"(-4.08e+05,-4.03e+05]"
