"year","Ts","dOsea","dTsVscales"
-5320000,4.590534,2.91,4.58854479488781
-5315000,4.849184,2.84,5.09404101748335
-5310000,5.034774,2.79,5.45675141358429
-5305000,5.034774,2.79,5.45675141358429
-5300000,4.590534,2.91,4.58854479488781
-5295000,4.369926,2.97,4.15739648375555
-5290000,4.553696,2.92,4.51654993755947
-5285000,4.9976,2.8,5.38409988998573
-5280000,4.664294,2.89,4.73269867611204
-5275000,4.664294,2.89,4.73269867611204
-5270000,4.9976,2.8,5.38409988998573
-5265000,4.333256,2.98,4.08572995956232
-5260000,4.223414,3.01,3.87105872011775
-5255000,3.931734,3.09,3.30100985792301
-5250000,4.040904,3.06,3.51436776482715
-5245000,4.369926,2.97,4.15739648375555
-5240000,4.553696,2.92,4.51654993755947
-5235000,5.109206,2.77,5.60221862734896
-5230000,4.333256,2.98,4.08572995956232
-5225000,4.516886,2.93,4.44460980242031
-5220000,4.849184,2.84,5.09404101748335
-5215000,4.738166,2.87,4.87707144609301
-5210000,4.406624,2.96,4.22911773013796
-5205000,4.26,3,3.94256107774342
-5200000,4.775144,2.86,4.94933991436727
-5195000,4.923336,2.82,5.23896100935617
-5190000,4.26,3,3.94256107774342
-5185000,4.186856,3.02,3.79961108468126
-5180000,3.859094,3.11,3.15904486426618
-5175000,3.497574,3.21,2.4525032273331
-5170000,4.186856,3.02,3.79961108468126
-5165000,4.44335,2.95,4.30089369870956
-5160000,4.923336,2.82,5.23896100935617
-5155000,4.590534,2.91,4.58854479488781
-5150000,4.664294,2.89,4.73269867611204
-5145000,4.6274,2.9,4.66059437440533
-5140000,4.480104,2.94,4.37272438947035
-5135000,5.55815,2.65,6.4796185738285
-5130000,5.445536,2.68,6.25952983765462
-5125000,5.295776,2.72,5.96684430007136
-5120000,4.9976,2.8,5.38409988998573
-5115000,4.775144,2.86,4.94933991436727
-5110000,4.553696,2.92,4.51654993755947
-5105000,4.113824,3.04,3.65687998037583
-5100000,4.26,3,3.94256107774342
-5095000,4.701216,2.88,4.80485770000793
-5090000,5.520584,2.66,6.40620093958135
-5085000,4.960454,2.81,5.31150308857636
-5080000,5.071976,2.78,5.52945765937203
-5075000,5.408054,2.69,6.18627636997503
-5070000,4.516886,2.93,4.44460980242031
-5065000,4.6274,2.9,4.66059437440533
-5060000,4.81215,2.85,5.02166310483072
-5055000,4.040904,3.06,3.51436776482715
-5050000,4.113824,3.04,3.65687998037583
-5045000,3.641846,3.17,2.73446321583611
-5040000,4.040904,3.06,3.51436776482715
-5035000,5.034774,2.79,5.45675141358429
-5030000,5.109206,2.77,5.60221862734896
-5025000,5.221064,2.74,5.82082986441484
-5020000,5.221064,2.74,5.82082986441484
-5015000,4.738166,2.87,4.87707144609301
-5010000,4.480104,2.94,4.37272438947035
-5005000,4.44335,2.95,4.30089369870956
-5e+06,5.034774,2.79,5.45675141358429
-4995000,4.81215,2.85,5.02166310483072
-4990000,5.221064,2.74,5.82082986441484
-4985000,4.44335,2.95,4.30089369870956
-4980000,3.641846,3.17,2.73446321583611
-4975000,4.480104,2.94,4.37272438947035
-4970000,4.516886,2.93,4.44460980242031
-4965000,4.590534,2.91,4.58854479488781
