years BP 2000,Low 95% Conf Interval,permille,Upper 95% Conf Int
0,3.23,3.23,3.23
0.5,3.25,3.25,3.25
1,3.31,3.31,3.31
1.5,3.32,3.32,3.32
2,3.31,3.31,3.31
2.5,3.22,3.22,3.22
3,3.3,3.3,3.3
3.5,3.31,3.31,3.31
4,3.26,3.26,3.26
4.5,3.27,3.27,3.27
5,3.26,3.26,3.26
5.5,3.27,3.27,3.27
6,3.33,3.33,3.33
6.5,3.32,3.32,3.32
7,3.32,3.32,3.32
7.5,3.29,3.29,3.29
8,3.36,3.36,3.36
8.5,3.43,3.43,3.43
9,3.42,3.42,3.42
9.5,3.53,3.53,3.53
10,3.59,3.59,3.59
10.5,3.61,3.61,3.61
11,3.65,3.65,3.65
11.5,3.74,3.74,3.74
12,3.84,3.84,3.84
12.5,3.96,3.96,3.96
13,4.12,4.12,4.12
13.5,4.15,4.15,4.15
14,4.19,4.19,4.19
14.5,4.25,4.25,4.25
15,4.4,4.4,4.4
15.5,4.48,4.48,4.48
16,4.55,4.55,4.55
16.5,4.66,4.66,4.66
17,4.76,4.76,4.76
17.5,4.83,4.83,4.83
18,4.89,4.89,4.89
18.5,4.91,4.91,4.91
19,4.93,4.93,4.93
19.5,4.92,4.92,4.92
20,4.83,4.83,4.83
20.5,4.89,4.89,4.89
21,4.89,4.89,4.89
21.5,4.83,4.83,4.83
22,4.86,4.86,4.86
22.5,4.81,4.81,4.81
23,4.81,4.81,4.81
23.5,4.77,4.77,4.77
24,4.75,4.75,4.75
24.5,4.75,4.75,4.75
25,4.75,4.75,4.75
25.5,4.73,4.73,4.73
26,4.75,4.75,4.75
26.5,4.67,4.67,4.67
27,4.69,4.69,4.69
27.5,4.65,4.65,4.65
28,4.6,4.6,4.6
28.5,4.6,4.6,4.6
29,4.56,4.56,4.56
29.5,4.53,4.53,4.53
30,4.6,4.6,4.6
30.5,4.6,4.6,4.6
31,4.55,4.55,4.55
31.5,4.49,4.49,4.49
32,4.54,4.54,4.54
32.5,4.53,4.53,4.53
33,4.5,4.5,4.5
33.5,4.44,4.44,4.44
34,4.47,4.47,4.47
34.5,4.49,4.49,4.49
35,4.46,4.46,4.46
35.5,4.46,4.46,4.46
36,4.47,4.47,4.47
36.5,4.43,4.43,4.43
37,4.36,4.36,4.36
37.5,4.35,4.35,4.35
38,4.31,4.31,4.31
38.5,4.4,4.4,4.4
39,4.41,4.41,4.41
39.5,4.44,4.44,4.44
40,4.46,4.46,4.46
40.5,4.46,4.47,4.48
41,4.46,4.46,4.47
41.5,4.44,4.46,4.47
42,4.43,4.46,4.49
42.5,4.42,4.44,4.47
43,4.4,4.41,4.42
43.5,4.4,4.4,4.41
44,4.41,4.41,4.42
44.5,4.38,4.4,4.41
45,4.32,4.39,4.41
45.5,4.28,4.34,4.4
46,4.25,4.28,4.33
46.5,4.24,4.26,4.31
47,4.25,4.29,4.33
47.5,4.28,4.33,4.36
48,4.33,4.36,4.38
48.5,4.35,4.38,4.39
49,4.34,4.38,4.4
49.5,4.33,4.37,4.41
50,4.32,4.34,4.39
50.5,4.29,4.31,4.34
