"year","SST","dTsVscales"
-420000,18.41,18.41
-419820,18.35,18.35
-419640,18,18
-419470,18.45,18.45
-419290,18.35,18.35
-419110,18.35,18.35
-418930,18.14,18.14
-418760,18.2,18.2
-418580,18.33,18.33
-418400,18.3,18.3
-418220,18.34,18.34
-418040,18.42,18.42
-417870,18.32,18.32
-417690,18.32,18.32
-417510,18.35,18.35
-417330,18.22,18.22
-417150,18.16,18.16
-416980,17.92,17.92
-416800,18.08,18.08
-416620,18.1,18.1
-416440,17.75,17.75
-416260,17.74,17.74
-416090,17.89,17.89
-415910,17.99,17.99
-415730,17.62,17.62
-415440,16.96,16.96
-415160,17.12,17.12
-414590,17.46,17.46
-414300,17.68,17.68
-414000,17.69,17.69
-413710,17.47,17.47
-413550,17.44,17.44
-413390,17.79,17.79
-413240,17.62,17.62
-413080,17.8,17.8
-412920,17.94,17.94
-412640,18.14,18.14
-412370,18.19,18.19
-412090,18.34,18.34
-411870,18.3,18.3
-411640,18.38,18.38
-411420,18.48,18.48
-411130,18.34,18.34
-410920,18.66,18.66
-410790,18.46,18.46
-410660,18.58,18.58
-410430,18.46,18.46
-410200,18.58,18.58
-409980,18.52,18.52
-409860,18.37,18.37
-409730,18.5,18.5
-409610,18.47,18.47
-409490,18.6,18.6
-409370,18.51,18.51
-409240,18.43,18.43
-409120,18.54,18.54
-408650,18.68,18.68
-408190,18.8,18.8
-407560,18.71,18.71
-407340,18.63,18.63
-407130,18.72,18.72
-406810,18.45,18.45
-406400,18.31,18.31
-405980,18.31,18.31
-405730,18.35,18.35
-405480,18.49,18.49
-405350,18.8,18.8
-405210,18.72,18.72
-405080,18.68,18.68
-404700,18.44,18.44
-404330,18.44,18.44
-404120,18.44,18.44
-403900,18.24,18.24
-403690,18.18,18.18
-403320,18.35,18.35
-402950,18.05,18.05
-402580,18.01,18.01
-402200,18.46,18.46
-401980,18.08,18.08
-401760,18.32,18.32
-401540,18.15,18.15
-401410,18.22,18.22
-401250,18.23,18.23
-401070,18.02,18.02
-400880,17.98,17.98
-400700,17.95,17.95
-400520,17.8,17.8
-400370,17.93,17.93
-400220,17.65,17.65
-400090,17.88,17.88
-399970,18.06,18.06
-399840,17.75,17.75
-399710,17.59,17.59
-399330,17.72,17.72
-399230,17.73,17.73
-399140,17.64,17.64
-399040,17.55,17.55
-398740,17.67,17.67
-398430,17.59,17.59
-398280,17.69,17.69
-398130,17.56,17.56
-397910,17.65,17.65
-397610,17.57,17.57
-397290,17.7,17.7
-396980,17.66,17.66
-396660,17.19,17.19
-396320,17.4,17.4
-395950,17.3,17.3
-395730,17.33,17.33
-395500,17.38,17.38
-395110,17.45,17.45
-394710,17.59,17.59
-394440,17.36,17.36
-394200,17.27,17.27
-393990,17.06,17.06
-393840,16.41,16.41
-393690,16.66,16.66
-393550,16.91,16.91
-393410,16.71,16.71
-393270,16.77,16.77
-393150,16.48,16.48
-393040,16.19,16.19
-392920,16.34,16.34
-392800,16.18,16.18
-392650,16.3,16.3
-392470,16.09,16.09
-392050,16.14,16.14
-391890,16.2,16.2
-391740,16.01,16.01
-391600,15.89,15.89
-391460,15.87,15.87
-391260,14.92,14.92
-391060,15.24,15.24
-390520,15,15
-390320,15.34,15.34
-390120,16.19,16.19
-389940,16.37,16.37
-389760,16.48,16.48
-389590,16.64,16.64
-389410,16.6,16.6
-389230,16.53,16.53
-389050,16.58,16.58
-388660,16.01,16.01
-388280,15.85,15.85
-387890,16.01,16.01
-387440,13.41,13.41
-387000,15.47,15.47
-386550,15.41,15.41
-386100,15.76,15.76
-385720,15.66,15.66
-385570,16.21,16.21
-385420,16.46,16.46
-385270,16.42,16.42
-385140,16.68,16.68
-385010,16.29,16.29
-384760,16.45,16.45
-384510,16.38,16.38
-384360,16.07,16.07
-384200,15.91,15.91
-384000,16.22,16.22
-383780,15.35,15.35
-383530,15.28,15.28
-383290,15.11,15.11
-383030,14.83,14.83
-382750,13.2,13.2
-382470,13.29,13.29
-381920,14.36,14.36
-381110,13.29,13.29
-380100,14.07,14.07
