"year","dOice","dTsVscales","yearSample"
-122900,-32.62,1.66632772494514,"(-1.2302e+05,-1.2285e+05]"
-122850,-32.68,1.61607168983175,"(-1.2302e+05,-1.2285e+05]"
-122800,-32.47,1.7919678127286,"(-1.2285e+05,-1.228e+05]"
-122750,-32.49,1.77521580102414,"(-1.228e+05,-1.2275e+05]"
-122700,-32.64,1.64957571324067,"(-1.2275e+05,-1.227e+05]"
-122650,-32.64,1.64957571324067,"(-1.227e+05,-1.2265e+05]"
-122600,-32.58,1.69983174835406,"(-1.2265e+05,-1.226e+05]"
-122550,-32.59,1.69145574250182,"(-1.226e+05,-1.2255e+05]"
-122500,-32.49,1.77521580102414,"(-1.2255e+05,-1.225e+05]"
-122450,-32.36,1.88410387710314,"(-1.225e+05,-1.2245e+05]"
-122400,-32.33,1.90923189465984,"(-1.2245e+05,-1.224e+05]"
-122350,-32.3,1.93435991221653,"(-1.224e+05,-1.2235e+05]"
-122300,-32.33,1.90923189465984,"(-1.2235e+05,-1.223e+05]"
-122250,-32.34,1.9008558888076,"(-1.223e+05,-1.2225e+05]"
-122200,-32.32,1.91760790051207,"(-1.2225e+05,-1.222e+05]"
-122150,-32.15,2.06,"(-1.222e+05,-1.2215e+05]"
-122100,-32.27,1.95948792977322,"(-1.2215e+05,-1.221e+05]"
-122050,-32.26,1.96786393562546,"(-1.221e+05,-1.2205e+05]"
-122000,-32.34,1.9008558888076,"(-1.2205e+05,-1.22e+05]"
-121950,-32.37,1.87572787125092,"(-1.22e+05,-1.2195e+05]"
-121900,-32.39,1.85897585954645,"(-1.2195e+05,-1.219e+05]"
-121850,-32.35,1.89247988295537,"(-1.219e+05,-1.2185e+05]"
-121800,-32.45,1.80871982443306,"(-1.2185e+05,-1.218e+05]"
-121750,-32.46,1.80034381858083,"(-1.218e+05,-1.2175e+05]"
-121700,-32.33,1.90923189465984,"(-1.2175e+05,-1.217e+05]"
-121650,-32.43,1.82547183613753,"(-1.217e+05,-1.2165e+05]"
-121600,-32.39,1.85897585954645,"(-1.2165e+05,-1.216e+05]"
-121550,-32.64,1.64957571324067,"(-1.216e+05,-1.2155e+05]"
-121500,-32.89,1.44017556693489,"(-1.2155e+05,-1.215e+05]"
-121450,-32.69,1.60769568397952,"(-1.215e+05,-1.2145e+05]"
-121400,-32.6,1.6830797366496,"(-1.2145e+05,-1.214e+05]"
-121350,-32.7,1.59931967812728,"(-1.214e+05,-1.2135e+05]"
-121300,-32.67,1.62444769568398,"(-1.2135e+05,-1.213e+05]"
-121250,-32.85,1.47367959034382,"(-1.213e+05,-1.2125e+05]"
-121200,-32.79,1.52393562545721,"(-1.2125e+05,-1.212e+05]"
-121150,-33.14,1.23077542062911,"(-1.212e+05,-1.2115e+05]"
-121100,-33.32,1.08000731528895,"(-1.2115e+05,-1.211e+05]"
-121050,-33.34,1.06325530358449,"(-1.211e+05,-1.2105e+05]"
-121000,-33.35,1.05487929773226,"(-1.2105e+05,-1.21e+05]"
-120950,-33.39,1.02137527432333,"(-1.21e+05,-1.2095e+05]"
-120900,-33.67,0.786847110460861,"(-1.2095e+05,-1.209e+05]"
-120850,-33.66,0.795223116313096,"(-1.209e+05,-1.2085e+05]"
-120800,-33.54,0.895735186539868,"(-1.2085e+05,-1.208e+05]"
-120750,-33.81,0.669583028529624,"(-1.208e+05,-1.2075e+05]"
-120700,-33.95,0.552318946598387,"(-1.2075e+05,-1.207e+05]"
-120650,-34.03,0.485310899780539,"(-1.207e+05,-1.2065e+05]"
-120600,-34.18,0.359670811997073,"(-1.2065e+05,-1.206e+05]"
-120550,-34.2,0.342918800292608,"(-1.206e+05,-1.2055e+05]"
-120500,-34.32,0.242406730065836,"(-1.2055e+05,-1.205e+05]"
-120450,-34.35,0.217278712509142,"(-1.205e+05,-1.2045e+05]"
-120400,-34.29,0.267534747622531,"(-1.2045e+05,-1.204e+05]"
-120350,-34.48,0.108390636430141,"(-1.204e+05,-1.2035e+05]"
-120300,-34.61,-0.000497439648866838,"(-1.2035e+05,-1.203e+05]"
-120250,-34.32,0.242406730065836,"(-1.203e+05,-1.2025e+05]"
-120200,-34.41,0.167022677395759,"(-1.2025e+05,-1.202e+05]"
-120150,-34.52,0.0748866130212107,"(-1.202e+05,-1.2015e+05]"
-120100,-34.72,-0.092633504023409,"(-1.2015e+05,-1.201e+05]"
-120050,-34.81,-0.168017556693492,"(-1.201e+05,-1.2005e+05]"
-120000,-34.74,-0.109385515727874,"(-1.2005e+05,-1.2e+05]"
-119950,-35.01,-0.335537673738112,"(-1.2e+05,-1.1995e+05]"
-119900,-34.93,-0.268529626920264,"(-1.1995e+05,-1.199e+05]"
-119850,-34.68,-0.0591294806144851,"(-1.199e+05,-1.1985e+05]"
-119800,-34.88,-0.226649597659111,"(-1.1985e+05,-1.198e+05]"
-119750,-35.35,-0.620321872713975,"(-1.198e+05,-1.1975e+05]"
-119700,-35.49,-0.737585954645211,"(-1.1975e+05,-1.197e+05]"
-119650,-35.45,-0.704081931236287,"(-1.197e+05,-1.1965e+05]"
-119600,-35.65,-0.871602048280907,"(-1.1965e+05,-1.196e+05]"
-119550,-35.6,-0.829722019019754,"(-1.196e+05,-1.1955e+05]"
-119500,-35.7,-0.913482077542066,"(-1.1955e+05,-1.195e+05]"
-119450,-35.8,-0.997242136064374,"(-1.195e+05,-1.1945e+05]"
-119400,-35.85,-1.03912216532553,"(-1.1945e+05,-1.194e+05]"
-119350,-36.69,-1.74270665691295,"(-1.194e+05,-1.1935e+05]"
-119300,-36.68,-1.73433065106072,"(-1.1935e+05,-1.193e+05]"
-119250,-36.35,-1.45792245793709,"(-1.193e+05,-1.1925e+05]"
-119200,-36.95,-1.96048280907096,"(-1.1925e+05,-1.192e+05]"
-119150,-36.98,-1.98561082662765,"(-1.192e+05,-1.1915e+05]"
-119100,-36.99,-1.99398683247989,"(-1.1915e+05,-1.191e+05]"
-119050,-36.82,-1.85159473299195,"(-1.191e+05,-1.1905e+05]"
-119000,-36.7,-1.75108266276518,"(-1.1905e+05,-1.19e+05]"
-118950,-37.2,-2.16988295537674,"(-1.19e+05,-1.1895e+05]"
-118900,-37.51,-2.4295391367959,"(-1.1895e+05,-1.189e+05]"
-118850,-37.3,-2.25364301389905,"(-1.189e+05,-1.1885e+05]"
-118800,-37.12,-2.10287490855889,"(-1.1885e+05,-1.188e+05]"
-118750,-37.31,-2.26201901975128,"(-1.188e+05,-1.1875e+05]"
-118700,-37.48,-2.40441111923921,"(-1.1875e+05,-1.187e+05]"
-118650,-37.17,-2.14475493782005,"(-1.187e+05,-1.1865e+05]"
-118600,-37.26,-2.22013899049012,"(-1.1865e+05,-1.186e+05]"
-118550,-36.92,-1.93535479151427,"(-1.186e+05,-1.1855e+05]"
-118500,-37.32,-2.27039502560351,"(-1.1855e+05,-1.185e+05]"
-118450,-37.59,-2.49654718361376,"(-1.185e+05,-1.1845e+05]"
-118400,-37.68,-2.57193123628383,"(-1.1845e+05,-1.184e+05]"
-118350,-37.78,-2.65569129480615,"(-1.184e+05,-1.1835e+05]"
-118300,-37.88,-2.73945135332846,"(-1.1835e+05,-1.183e+05]"
-118250,-37.88,-2.73945135332846,"(-1.183e+05,-1.1825e+05]"
-118200,-37.75,-2.63056327724945,"(-1.1825e+05,-1.182e+05]"
-118150,-37.63,-2.53005120702268,"(-1.182e+05,-1.1815e+05]"
-118100,-37.7,-2.5886832479883,"(-1.1815e+05,-1.181e+05]"
-118050,-37.52,-2.43791514264814,"(-1.181e+05,-1.1805e+05]"
-118000,-37.42,-2.35415508412583,"(-1.1805e+05,-1.18e+05]"
-117950,-37.27,-2.22851499634236,"(-1.18e+05,-1.1795e+05]"
-117900,-37.39,-2.32902706656913,"(-1.1795e+05,-1.179e+05]"
-117850,-37.67,-2.5635552304316,"(-1.179e+05,-1.1785e+05]"
-117800,-37.69,-2.58030724213606,"(-1.1785e+05,-1.178e+05]"
-117750,-37.81,-2.68081931236284,"(-1.178e+05,-1.1775e+05]"
-117700,-37.72,-2.60543525969276,"(-1.1775e+05,-1.177e+05]"
-117650,-37.35,-2.29552304316021,"(-1.177e+05,-1.1765e+05]"
-117600,-37.74,-2.62218727139722,"(-1.1765e+05,-1.176e+05]"
-117550,-38,-2.83996342355523,"(-1.176e+05,-1.1755e+05]"
-117500,-38.15,-2.9656035113387,"(-1.1755e+05,-1.175e+05]"
-117450,-38.21,-3.01585954645209,"(-1.175e+05,-1.1745e+05]"
-117400,-38.16,-2.97397951719093,"(-1.1745e+05,-1.174e+05]"
-117350,-38,-2.83996342355523,"(-1.174e+05,-1.1735e+05]"
-117300,-38.01,-2.84833942940746,"(-1.1735e+05,-1.173e+05]"
-117250,-37.9,-2.75620336503292,"(-1.173e+05,-1.1725e+05]"
-117200,-38.03,-2.86509144111193,"(-1.1725e+05,-1.172e+05]"
-117150,-38.07,-2.89859546452085,"(-1.172e+05,-1.1715e+05]"
-117100,-38.05,-2.88184345281638,"(-1.1715e+05,-1.171e+05]"
-117050,-38.11,-2.93209948792977,"(-1.171e+05,-1.1705e+05]"
-117000,-38.26,-3.05773957571324,"(-1.1705e+05,-1.17e+05]"
-116950,-38.39,-3.16662765179225,"(-1.17e+05,-1.1695e+05]"
-116900,-38.4,-3.17500365764448,"(-1.1695e+05,-1.169e+05]"
-116850,-38.11,-2.93209948792977,"(-1.169e+05,-1.1685e+05]"
-116800,-37.97,-2.81483540599854,"(-1.1685e+05,-1.168e+05]"
-116750,-38.14,-2.95722750548647,"(-1.168e+05,-1.1675e+05]"
-116700,-38.48,-3.24201170446233,"(-1.1675e+05,-1.167e+05]"
-116650,-38.03,-2.86509144111193,"(-1.167e+05,-1.1665e+05]"
-116600,-37.86,-2.72269934162399,"(-1.1665e+05,-1.166e+05]"
-116550,-38.42,-3.19175566934894,"(-1.166e+05,-1.1655e+05]"
-116500,-38.33,-3.11637161667886,"(-1.1655e+05,-1.165e+05]"
-116450,-38.37,-3.14987564008778,"(-1.165e+05,-1.1645e+05]"
-116400,-38.45,-3.21688368690564,"(-1.1645e+05,-1.164e+05]"
-116350,-38.09,-2.91534747622532,"(-1.164e+05,-1.1635e+05]"
-116300,-38.13,-2.94885149963424,"(-1.1635e+05,-1.163e+05]"
-116250,-38.52,-3.27551572787125,"(-1.163e+05,-1.1625e+05]"
-116200,-38.63,-3.3676517922458,"(-1.1625e+05,-1.162e+05]"
-116150,-38.56,-3.30901975128018,"(-1.162e+05,-1.1615e+05]"
-116100,-38.58,-3.32577176298464,"(-1.1615e+05,-1.161e+05]"
-116050,-38.74,-3.45978785662034,"(-1.161e+05,-1.1605e+05]"
-116000,-38.41,-3.18337966349671,"(-1.1605e+05,-1.16e+05]"
-115950,-38.3,-3.09124359912216,"(-1.16e+05,-1.1595e+05]"
-115900,-38.61,-3.35089978054133,"(-1.1595e+05,-1.159e+05]"
-115850,-38.56,-3.30901975128018,"(-1.159e+05,-1.1585e+05]"
-115800,-38.51,-3.26713972201902,"(-1.1585e+05,-1.158e+05]"
-115750,-38.62,-3.35927578639356,"(-1.158e+05,-1.1575e+05]"
-115700,-38.01,-2.84833942940746,"(-1.1575e+05,-1.157e+05]"
-115650,-38.49,-3.25038771031456,"(-1.157e+05,-1.1565e+05]"
-115600,-38.8,-3.51004389173372,"(-1.1565e+05,-1.156e+05]"
-115550,-38.46,-3.22525969275787,"(-1.156e+05,-1.1555e+05]"
-115500,-37.99,-2.831587417703,"(-1.1555e+05,-1.155e+05]"
-115450,-37.54,-2.4546671543526,"(-1.155e+05,-1.1545e+05]"
-115400,-36.97,-1.97723482077542,"(-1.1545e+05,-1.154e+05]"
