"year","dOice","dTsVscales"
-122260,-32.56,1.70193884642112
-122240,-32.51,1.741723419041
-122220,-32.66,1.62236970118138
-122200,-32.66,1.62236970118138
-122180,-32.85,1.47118832522585
-122160,-32.64,1.63828353022933
-122140,-32.32,1.89290479499652
-122120,-32.38,1.84516330785267
-122100,-32.53,1.72580958999305
-122080,-32.48,1.76559416261293
-122060,-32.69,1.59849895760945
-122040,-32.72,1.57462821403753
-122020,-32.61,1.66215427380125
-122000,-32.62,1.65419735927728
-121980,-32.55,1.7098957609451
-121960,-32.62,1.65419735927728
-121940,-32.63,1.6462404447533
-121920,-32.57,1.69398193189715
-121900,-32.58,1.68602501737318
-121880,-32.41,1.82129256428075
-121860,-32.43,1.8053787352328
-121840,-32.36,1.86107713690063
-121820,-32.26,1.94064628214038
-121800,-32.37,1.85312022237665
-121780,-32.4,1.82924947880473
-121760,-32.25,1.94860319666435
-121740,-32.26,1.94064628214038
-121720,-32.3,1.90881862404448
-121700,-32.43,1.8053787352328
-121680,-32.32,1.89290479499652
-121660,-32.3,1.90881862404448
-121640,-32.32,1.89290479499652
-121620,-32.41,1.82129256428075
-121600,-32.12,2.05204308547603
-121580,-32.11,2.06
-121560,-32.14,2.03612925642807
-121540,-32.38,1.84516330785267
-121520,-32.34,1.87699096594857
-121500,-32.15,2.0281723419041
-121480,-32.37,1.85312022237665
-121460,-32.33,1.88494788047255
-121440,-32.25,1.94860319666435
-121420,-32.4,1.82924947880473
-121400,-32.32,1.89290479499652
-121380,-32.6,1.67011118832522
-121360,-32.35,1.8690340514246
-121340,-32.28,1.92473245309242
-121320,-32.35,1.8690340514246
-121300,-32.39,1.8372063933287
-121280,-32.52,1.73376650451702
-121260,-32.45,1.78946490618485
-121240,-32.51,1.741723419041
-121220,-32.31,1.9008617095205
-121200,-32.29,1.91677553856845
-121180,-32.48,1.76559416261293
-121160,-32.46,1.78150799166087
-121140,-32.36,1.86107713690063
-121120,-32.41,1.82129256428075
-121100,-32.45,1.78946490618485
-121080,-32.33,1.88494788047255
-121060,-32.81,1.50301598332175
-121040,-32.94,1.39957609451008
-121020,-32.95,1.3916191799861
-121000,-32.74,1.55871438498957
-120980,-32.68,1.60645587213343
-120960,-32.59,1.6780681028492
-120940,-32.55,1.7098957609451
-120920,-32.71,1.5825851285615
-120900,-32.77,1.53484364141765
-120880,-32.84,1.47914523974982
-120860,-32.4,1.82924947880473
-120840,-32.52,1.73376650451702
-120820,-32.99,1.3597915218902
-120800,-33.05,1.31205003474635
-120780,-32.7,1.59054204308547
-120760,-32.6,1.67011118832522
-120740,-33.16,1.22452397498263
-120720,-33.2,1.19269631688672
-120700,-33.19,1.2006532314107
-120680,-33.29,1.12108408617095
-120660,-33.39,1.0415149409312
-120640,-33.4,1.03355802640723
-120620,-33.12,1.25635163307853
-120600,-33.38,1.04947185545517
-120580,-33.51,0.946031966643504
-120560,-33.31,1.105170257123
-120540,-33.28,1.12904100069493
-120520,-33.49,0.96194579569145
-120500,-33.76,0.747109103544129
-120480,-33.82,0.699367616400277
-120460,-33.71,0.786893676164002
-120440,-33.54,0.922161223071578
-120420,-33.5,0.953988881167477
-120400,-33.55,0.914204308547604
-120380,-33.69,0.802807505211954
-120360,-33.92,0.619798471160526
-120340,-33.9,0.635712300208479
-120320,-34.02,0.540229325920775
-120300,-34.01,0.548186240444754
-120280,-33.88,0.651626129256426
-120260,-34.2,0.397004864489226
-120240,-34.14,0.444746351633078
-120220,-34.24,0.365177206393327
-120200,-34.16,0.428832522585131
-120180,-34.19,0.404961779013205
-120160,-34.22,0.381091035441279
-120140,-34.25,0.357220291869353
-120120,-34.54,0.126469770674079
-120100,-34.49,0.166254343293952
-120080,-34.18,0.412918693537178
-120060,-34.2,0.397004864489226
-120040,-34.35,0.277651146629602
-120020,-34.49,0.166254343293952
-120000,-34.52,0.142383599722026
-119980,-34.54,0.126469770674079
-119960,-34.75,-0.0406254343293959
-119940,-34.54,0.126469770674079
-119920,-34.14,0.444746351633078
-119900,-34.16,0.428832522585131
-119880,-34.47,0.182168172341905
-119860,-34.65,0.0389437109103552
-119840,-34.41,0.229909659485756
-119820,-34.45,0.198082001389851
-119800,-34.57,0.102599027102154
-119780,-34.83,-0.104280750521194
-119760,-34.92,-0.175892981236972
-119740,-34.81,-0.0883669214732477
-119720,-34.64,0.0469006254343287
-119700,-34.84,-0.112237665045174
-119680,-34.77,-0.0565392633773483
-119660,-34.74,-0.0326685198054224
-119640,-35.17,-0.374815844336347
-119620,-35.16,-0.366858929812367
-119600,-34.85,-0.120194579569147
-119580,-34.91,-0.167936066712993
-119560,-34.73,-0.0247116052814436
-119540,-34.41,0.229909659485756
-119520,-34.8,-0.0804100069492684
-119500,-35.06,-0.287289784572622
-119480,-35.31,-0.486212647671997
-119460,-35.4,-0.557824878387768
-119440,-35.58,-0.701049339819318
-119420,-35.45,-0.597609451007647
-119400,-35.24,-0.430514246004172
-119380,-35.48,-0.621480194579567
-119360,-35.6,-0.716963168867271
-119340,-35.55,-0.677178596247392
-119320,-35.8,-0.876101459346767
-119300,-35.66,-0.764704656011117
-119280,-35.49,-0.629437109103546
-119260,-35.6,-0.716963168867271
-119240,-35.68,-0.780618485059069
-119220,-35.95,-0.995455177206396
-119200,-35.88,-0.939756775538571
-119180,-35.66,-0.764704656011117
-119160,-35.61,-0.724920083391244
-119140,-35.71,-0.804489228630995
-119120,-36.71,-1.60018068102849
-119100,-36.69,-1.58426685198054
-119080,-37.03,-1.85480194579569
-119060,-36.67,-1.56835302293259
-119040,-36.44,-1.38534398888117
-119020,-35.98,-1.01932592077832
-119000,-36.54,-1.46491313412092
-118980,-36.73,-1.61609451007644
-118960,-37.13,-1.93437109103544
-118940,-37.01,-1.83888811674774
-118920,-36.97,-1.80706045865184
-118900,-37.04,-1.86275886031967
-118880,-37.03,-1.85480194579569
-118860,-36.96,-1.79910354412787
-118840,-36.99,-1.82297428769979
-118820,-36.88,-1.73544822793607
-118800,-36.55,-1.47287004864489
-118780,-36.65,-1.55243919388464
-118760,-36.72,-1.60813759555247
-118740,-36.92,-1.76727588603197
-118720,-37.49,-2.22082001389854
-118700,-37.46,-2.19694927032662
-118680,-37.61,-2.31630298818624
-118660,-37.73,-2.41178596247394
-118640,-37.19,-1.98211257817929
-118620,-36.96,-1.79910354412787
-118600,-37.15,-1.95028492008339
-118580,-36.95,-1.79114662960389
-118560,-37.29,-2.06168172341904
-118540,-37.39,-2.14125086865879
-118520,-37.48,-2.21286309937456
-118500,-37.6,-2.30834607366227
-118480,-37.45,-2.18899235580264
-118460,-36.97,-1.80706045865184
-118440,-37.25,-2.02985406532314
-118420,-37.23,-2.01394023627519
-118400,-37.31,-2.07759555246699
-118380,-37.24,-2.02189715079917
-118360,-37.1,-1.91050034746352
-118340,-36.62,-1.52856845031272
-118320,-36.81,-1.67974982626824
-118300,-37.73,-2.41178596247394
-118280,-37.66,-2.35608756080611
-118260,-37.55,-2.26856150104239
-118240,-37.6,-2.30834607366227
-118220,-37.96,-2.59479499652537
-118200,-37.77,-2.44361362056984
-118180,-37.42,-2.16512161223072
-118160,-37.73,-2.41178596247394
-118140,-37.98,-2.61070882557331
-118120,-37.75,-2.42769979152189
-118100,-37.69,-2.37995830437804
-118080,-38.17,-2.76189020152884
-118060,-37.75,-2.42769979152189
-118040,-37.7,-2.38791521890202
-118020,-37.85,-2.50726893676164
-118000,-37.81,-2.47544127866574
-117980,-37.66,-2.35608756080611
-117960,-37.51,-2.23673384294649
-117940,-37.49,-2.22082001389854
-117920,-38.05,-2.66640722724114
-117900,-37.49,-2.22082001389854
-117880,-37.51,-2.23673384294649
-117860,-37.47,-2.20490618485059
-117840,-37.41,-2.15716469770674
-117820,-37.57,-2.28447533009034
-117800,-37.13,-1.93437109103544
-117780,-36.83,-1.69566365531619
-117760,-37.12,-1.92641417651146
-117740,-37.92,-2.56296733842947
-117720,-37.68,-2.37200138985407
-117700,-37.57,-2.28447533009034
-117680,-37.54,-2.26060458651842
-117660,-37.7,-2.38791521890202
-117640,-37.72,-2.40382904794996
-117620,-37.82,-2.48339819318972
-117600,-37.89,-2.53909659485754
-117580,-37.66,-2.35608756080611
-117560,-37.71,-2.39587213342599
-117540,-37.78,-2.45157053509382
-117520,-37.24,-2.02189715079917
-117500,-37.22,-2.00598332175122
-117480,-37.65,-2.34813064628214
-117460,-38.05,-2.66640722724114
-117440,-37.79,-2.45952744961779
-117420,-37.59,-2.30038915913829
-117400,-38.06,-2.67436414176512
-117380,-38.09,-2.69823488533704
-117360,-38.24,-2.81758860319667
-117340,-38.15,-2.74597637248089
-117320,-38.29,-2.85737317581654
-117300,-38.47,-3.00059763724809
-117280,-38.14,-2.73801945795692
-117260,-38,-2.62662265462127
-117240,-38.35,-2.90511466296039
-117220,-37.82,-2.48339819318972
-117200,-37.81,-2.47544127866574
-117180,-37.78,-2.45157053509382
-117160,-38.31,-2.87328700486449
-117140,-37.95,-2.58683808200139
-117120,-37.87,-2.52318276580959
-117100,-37.86,-2.51522585128561
-117080,-38.13,-2.73006254343294
-117060,-38.34,-2.89715774843642
-117040,-37.87,-2.52318276580959
-117020,-37.8,-2.46748436414176
-117000,-37.85,-2.50726893676164
-116980,-38.34,-2.89715774843642
-116960,-38.3,-2.86533009034051
-116940,-38.19,-2.77780403057679
-116920,-37.74,-2.41974287699792
-116900,-38.16,-2.75393328700486
-116880,-38.6,-3.10403752605977
-116860,-38.05,-2.66640722724114
-116840,-38.12,-2.72210562890896
-116820,-38.61,-3.11199444058374
-116800,-38.63,-3.12790826963169
-116780,-38.61,-3.11199444058374
-116760,-38.06,-2.67436414176512
-116740,-38.39,-2.93694232105629
-116720,-37.98,-2.61070882557331
-116700,-37.66,-2.35608756080611
-116680,-38.14,-2.73801945795692
-116660,-37.79,-2.45952744961779
-116640,-37.96,-2.59479499652537
-116620,-38.53,-3.04833912439194
-116600,-38.34,-2.89715774843642
-116580,-38.76,-3.23134815844336
-116560,-38.21,-2.79371785962474
-116540,-37.85,-2.50726893676164
-116520,-37.99,-2.61866574009729
-116500,-37.32,-2.08555246699097
-116480,-37.99,-2.61866574009729
-116460,-38.52,-3.04038220986797
-116440,-38.79,-3.25521890201529
-116420,-38.44,-2.97672689367616
-116400,-38.24,-2.81758860319667
-116380,-38.21,-2.79371785962474
-116360,-38.13,-2.73006254343294
-116340,-38.3,-2.86533009034051
-116320,-38.4,-2.94489923558026
-116300,-38.88,-3.32683113273107
-116280,-38.43,-2.96876997915219
-116260,-38.19,-2.77780403057679
-116240,-37.9,-2.54705350938151
-116220,-37.7,-2.38791521890202
-116200,-38.08,-2.69027797081306
-116180,-38.5,-3.02446838082001
-116160,-38.53,-3.04833912439194
-116140,-38.55,-3.06425295343989
-116120,-38.6,-3.10403752605977
-116100,-38.63,-3.12790826963169
-116080,-38.71,-3.19156358582349
-116060,-38.62,-3.11995135510771
-116040,-38.7,-3.18360667129952
-116020,-38.34,-2.89715774843642
-116000,-38.42,-2.96081306462822
-115980,-38.85,-3.30296038915914
-115960,-38.95,-3.38252953439889
-115940,-38.52,-3.04038220986797
-115920,-38.42,-2.96081306462822
-115900,-38.46,-2.99264072272412
-115880,-38.4,-2.94489923558026
-115860,-38.23,-2.80963168867269
-115840,-38.1,-2.70619179986102
-115820,-38.44,-2.97672689367616
-115800,-38.61,-3.11199444058374
-115780,-39.29,-3.65306462821404
-115760,-38.34,-2.89715774843642
-115740,-38.38,-2.92898540653232
-115720,-38.69,-3.17564975677554
-115700,-38.13,-2.73006254343294
-115680,-38.82,-3.27908964558721
-115660,-38.89,-3.33478804725504
-115640,-38.24,-2.81758860319667
-115620,-37.49,-2.22082001389854
-115600,-38.28,-2.84941626129257
-115580,-38.51,-3.03242529534399
-115560,-38.51,-3.03242529534399
-115540,-38.69,-3.17564975677554
-115520,-38.3,-2.86533009034051
-115500,-38.88,-3.32683113273107
-115480,-39.14,-3.53371091035441
-115460,-38.44,-2.97672689367616
-115440,-38.6,-3.10403752605977
-115420,-37.88,-2.53113968033357
-115400,-38.39,-2.93694232105629
-115380,-37.9,-2.54705350938151
-115360,-36.89,-1.74340514246004
-115340,-37.37,-2.12533703961084
-115320,-37.32,-2.08555246699097
-115300,-36.89,-1.74340514246004
-115280,-36.34,-1.30577484364142
-115260,-36.7,-1.59222376650452
-115240,-37.02,-1.84684503127172
-115220,-36.82,-1.68770674079222
-115200,-37.11,-1.91845726198749
-115180,-37.12,-1.92641417651146
-115160,-36.86,-1.71953439888812
-115140,-37.26,-2.03781097984712
-115120,-37.39,-2.14125086865879
-115100,-36.77,-1.64792216817234
-115080,-37.18,-1.97415566365532
-115060,-37.26,-2.03781097984712
-115040,-36.81,-1.67974982626824
-115020,-37.1,-1.91050034746352
-115000,-36.84,-1.70362056984017
-114980,-37.78,-2.45157053509382
-114960,-37.46,-2.19694927032662
-114940,-37.53,-2.25264767199444
-114920,-37.29,-2.06168172341904
-114900,-37.37,-2.12533703961084
-114880,-37.7,-2.38791521890202
-114860,-36.54,-1.46491313412092
-114840,-36.42,-1.36943015983322
-114820,-36.94,-1.78318971507992
-114800,-37.12,-1.92641417651146
-114780,-37.22,-2.00598332175122
-114760,-37.43,-2.17307852675469
-114740,-37.15,-1.95028492008339
-114720,-37.18,-1.97415566365532
-114700,-37.14,-1.94232800555942
-114680,-37.12,-1.92641417651146
-114660,-36.56,-1.48082696316887
-114640,-37.18,-1.97415566365532
-114620,-37.08,-1.89458651841557
-114600,-37.25,-2.02985406532314
-114580,-37.39,-2.14125086865879
-114560,-37.46,-2.19694927032662
-114540,-37.09,-1.90254343293954
-114520,-37.16,-1.95824183460736
-114500,-37.41,-2.15716469770674
-114480,-37.26,-2.03781097984712
-114460,-36.81,-1.67974982626824
-114440,-36.68,-1.57630993745657
-114420,-37.54,-2.26060458651842
-114400,-37.78,-2.45157053509382
-114380,-37.34,-2.10146629603892
-114360,-36.95,-1.79114662960389
-114340,-36.69,-1.58426685198054
-114320,-36.88,-1.73544822793607
-114300,-37.75,-2.42769979152189
-114280,-37.48,-2.21286309937456
-114260,-36.72,-1.60813759555247
-114240,-37.17,-1.96619874913134
-114220,-37.64,-2.34017373175817
-114200,-37.8,-2.46748436414176
-114180,-37.21,-1.99802640722724
