"","years.BP.2000","permille"
"1","      00.000",-35.19
"2","50.000",-35.19
"3","50.000",-34.83
"4","100.000",-34.83
"5","100.000",-35.05
"6","150.000",-35.05
"7","150.000",-35.45
"8","200.000",-35.45
"9","200.000",-35.42
"10","250.000",-35.42
"11","250.000",-35.63
"12","300.000",-35.63
"13","300.000",-35.8
"14","350.000",-35.8
"15","350.000",-35.62
"16","400.000",-35.62
"17","400.000",-35.48
"18","450.000",-35.48
"19","450.000",-35.36
"20","500.000",-35.36
"21","500.000",-35.41
"22","550.000",-35.41
"23","550.000",-35.1
"24","600.000",-35.1
"25","600.000",-35.27
"26","650.000",-35.27
"27","650.000",-35.67
"28","700.000",-35.67
"29","700.000",-35.33
"30","750.000",-35.33
"31","750.000",-35.38
"32","800.000",-35.38
"33","800.000",-35.63
"34","850.000",-35.63
"35","850.000",-35.49
"36","900.000",-35.49
"37","900.000",-35.3
"38","950.000",-35.3
"39","950.000",-35.66
"40","1.000.000",-35.66
"41","1.000.000",-35.01
"42","1.050.000",-35.01
"43","1.050.000",-35.09
"44","1.100.000",-35.09
"45","1.100.000",-35.58
"46","1.150.000",-35.58
"47","1.150.000",-35.51
"48","1.200.000",-35.51
"49","1.200.000",-35.34
"50","1.250.000",-35.34
"51","1.250.000",-35.27
"52","1.300.000",-35.27
"53","1.300.000",-35.26
"54","1.350.000",-35.26
"55","1.350.000",-35.09
"56","1.400.000",-35.09
"57","1.400.000",-35.2
"58","1.450.000",-35.2
"59","1.450.000",-35.09
"60","1.500.000",-35.09
"61","1.500.000",-35.68
"62","1.550.000",-35.68
"63","1.550.000",-35.42
"64","1.600.000",-35.42
"65","1.600.000",-34.84
"66","1.650.000",-34.84
"67","1.650.000",-35.68
"68","1.700.000",-35.68
"69","1.700.000",-35.22
"70","1.750.000",-35.22
"71","1.750.000",-35.72
"72","1.800.000",-35.72
"73","1.800.000",-35.43
"74","1.850.000",-35.43
"75","1.850.000",-35.19
"76","1.900.000",-35.19
"77","1.900.000",-34.66
"78","1.950.000",-34.66
"79","1.950.000",-35.03
"80","2.000.000",-35.03
"81","2.000.000",-35
"82","2.050.000",-35
"83","2.050.000",-35.12
"84","2.100.000",-35.12
"85","2.100.000",-35.19
"86","2.150.000",-35.19
"87","2.150.000",-35.6
"88","2.200.000",-35.6
"89","2.200.000",-35.33
"90","2.250.000",-35.33
"91","2.250.000",-34.77
"92","2.300.000",-34.77
"93","2.300.000",-34.99
"94","2.350.000",-34.99
"95","2.350.000",-35.1
"96","2.400.000",-35.1
"97","2.400.000",-34.93
"98","2.450.000",-34.93
"99","2.450.000",-35.65
"100","2.500.000",-35.65
"101","2.500.000",-35.25
"102","2.550.000",-35.25
"103","2.550.000",-35.11
"104","2.600.000",-35.11
"105","2.600.000",-35.29
"106","2.650.000",-35.29
"107","2.650.000",-35.32
"108","2.700.000",-35.32
"109","2.700.000",-35.19
"110","2.750.000",-35.19
"111","2.750.000",-34.86
"112","2.800.000",-34.86
"113","2.800.000",-34.96
"114","2.850.000",-34.96
"115","2.850.000",-35.14
"116","2.900.000",-35.14
"117","2.900.000",-35.03
"118","2.950.000",-35.03
"119","2.950.000",-34.64
"120","3.000.000",-34.64
"121","3.000.000",-34.98
"122","3.050.000",-34.98
"123","3.050.000",-35.19
"124","3.100.000",-35.19
"125","3.100.000",-34.91
"126","3.150.000",-34.91
"127","3.150.000",-35.02
"128","3.200.000",-35.02
"129","3.200.000",-35.17
"130","3.250.000",-35.17
"131","3.250.000",-35.08
"132","3.300.000",-35.08
"133","3.300.000",-35.15
"134","3.350.000",-35.15
"135","3.350.000",-34.91
"136","3.400.000",-34.91
"137","3.400.000",-34.81
"138","3.450.000",-34.81
"139","3.450.000",-35.07
"140","3.500.000",-35.07
"141","3.500.000",-35
"142","3.550.000",-35
"143","3.550.000",-34.96
"144","3.600.000",-34.96
"145","3.600.000",-35.13
"146","3.650.000",-35.13
"147","3.650.000",-34.49
"148","3.700.000",-34.49
"149","3.700.000",-34.63
"150","3.750.000",-34.63
"151","3.750.000",-35.06
"152","3.800.000",-35.06
"153","3.800.000",-35.05
"154","3.850.000",-35.05
"155","3.850.000",-35.21
"156","3.900.000",-35.21
"157","3.900.000",-35.11
"158","3.950.000",-35.11
"159","3.950.000",-35.07
"160","4.000.000",-35.07
"161","4.000.000",-34.73
"162","4.050.000",-34.73
"163","4.050.000",-35.02
"164","4.100.000",-35.02
"165","4.100.000",-35.25
"166","4.150.000",-35.25
"167","4.150.000",-34.96
"168","4.200.000",-34.96
"169","4.200.000",-34.65
"170","4.250.000",-34.65
"171","4.250.000",-35.19
"172","4.300.000",-35.19
"173","4.300.000",-34.65
"174","4.350.000",-34.65
"175","4.350.000",-35.1
"176","4.400.000",-35.1
"177","4.400.000",-34.99
"178","4.450.000",-34.99
"179","4.450.000",-34.65
"180","4.500.000",-34.65
"181","4.500.000",-35
"182","4.550.000",-35
"183","4.550.000",-34.45
"184","4.600.000",-34.45
"185","4.600.000",-34.87
"186","4.650.000",-34.87
"187","4.650.000",-35.05
"188","4.700.000",-35.05
"189","4.700.000",-34.78
"190","4.750.000",-34.78
"191","4.750.000",-34.6
"192","4.800.000",-34.6
"193","4.800.000",-34.85
"194","4.850.000",-34.85
"195","4.850.000",-34.74
"196","4.900.000",-34.74
"197","4.900.000",-34.4
"198","4.950.000",-34.4
"199","4.950.000",-34.72
"200","5.000.000",-34.72
"201","5.000.000",-34.76
"202","5.050.000",-34.76
"203","5.050.000",-34.65
"204","5.100.000",-34.65
"205","5.100.000",-34.98
"206","5.150.000",-34.98
"207","5.150.000",-34.41
"208","5.200.000",-34.41
"209","5.200.000",-34.68
"210","5.250.000",-34.68
"211","5.250.000",-35.09
"212","5.300.000",-35.09
"213","5.300.000",-34.97
"214","5.350.000",-34.97
"215","5.350.000",-35.02
"216","5.400.000",-35.02
"217","5.400.000",-34.64
"218","5.450.000",-34.64
"219","5.450.000",-34.56
"220","5.500.000",-34.56
"221","5.500.000",-34.51
"222","5.550.000",-34.51
"223","5.550.000",-34.82
"224","5.600.000",-34.82
"225","5.600.000",-34.63
"226","5.650.000",-34.63
"227","5.650.000",-35.09
"228","5.700.000",-35.09
"229","5.700.000",-34.75
"230","5.750.000",-34.75
"231","5.750.000",-34.62
"232","5.800.000",-34.62
"233","5.800.000",-34.82
