"year","dD","dTsVscales"
-422766,-436.6,0.23
-422135,-437.6,0.08
-421507,-437.3,0.15
-420888,-436.4,0.32
-420281,-435.2,0.54
-419682,-435.5,0.51
-419095,-433,0.94
-418526,-431.1,1.27
-417969,-430.4,1.4
-417419,-430.3,1.43
-416872,-430.8,1.36
-416327,-431.1,1.32
-415781,-432.3,1.13
-415235,-432.2,1.16
-414692,-432.8,1.07
-414147,-434.2,0.85
-413601,-434.5,0.8
-413062,-432.8,1.08
-412533,-432.4,1.15
-412009,-431.9,1.23
-411492,-431.2,1.34
-410979,-431.6,1.27
-410483,-426.4,2.13
-409995,-429.3,1.64
-409496,-431.4,1.28
-408992,-432.3,1.12
-408485,-433.3,0.94
-407977,-433.7,0.85
-407469,-434.4,0.71
-406957,-435.6,0.49
-406441,-436.5,0.31
-405923,-437.1,0.18
-405401,-438.6,-0.1
-404874,-439.5,-0.28
-404346,-439.8,-0.37
-403815,-440.9,-0.58
-403276,-443.3,-1.01
-402728,-444.4,-1.23
-402179,-444.4,-1.26
-401636,-443.2,-1.09
-401097,-443.5,-1.17
-400553,-445.8,-1.58
-400003,-446,-1.64
-399455,-445.9,-1.65
-398909,-445.9,-1.68
-398361,-447.2,-1.92
-397808,-448.3,-2.13
-397253,-448.6,-2.2
-396694,-450.5,-2.54
-396126,-451.9,-2.8
-395543,-455.6,-3.43
-394935,-460.3,-4.23
-394297,-465,-5.02
-393636,-467.2,-5.4
-392972,-466.6,-5.31
-392317,-465.7,-5.17
-391658,-468.3,-5.6
-390999,-466.8,-5.36
-390349,-466.7,-5.34
-389700,-467.3,-5.44
-389061,-465.1,-5.07
-388435,-464.8,-5.02
-387804,-467.2,-5.4
-387167,-467.6,-5.46
-386528,-468.8,-5.65
-385894,-467.1,-5.36
-385288,-462.2,-4.54
-384710,-459.6,-4.1
-384159,-454.5,-3.24
-383641,-450.1,-2.5
-383134,-451.4,-2.72
-382622,-452.6,-2.92
-382095,-457.4,-3.72
-381551,-459.4,-4.05
-380997,-461,-4.32
-380435,-463.1,-4.68
-379864,-464.3,-4.88
-379297,-462.7,-4.63
-378743,-460.6,-4.29
-378210,-457.1,-3.72
-377702,-452.6,-2.99
-377204,-454.2,-3.27
-376690,-458.9,-4.07
-376155,-461.7,-4.55
-375604,-464.8,-5.08
-375042,-465.8,-5.26
-374478,-466.1,-5.33
-373909,-468,-5.66
-373331,-469.4,-5.9
